ANT1,5.50,-12.00,180.00,2450AT18B100E,2450AT18B100E_ANTC3216X140N
C1,6.20,11.70,270.00,1uF,NORDIC_NRF_3_RESC0402_N
C10,18.60,3.10,0.00,0.1uF,NORDIC_NRF_3_RESC0201_N
C11,18.50,6.40,0.00,1uF,NORDIC_NRF_3_RESC0402_N
C12,-3.70,9.10,0.00,4.7uF,NORDIC_NRF_3_RESC0402_N
C13,2.60,9.40,90.00,0.1uF,NORDIC_NRF_3_RESC0201_N
C14,-10.20,-12.10,180.00,1uF,NORDIC_NRF_3_RESC0402_N
C15,0.80,-12.00,180.00,1uF,NORDIC_NRF_3_RESC0402_N
C16,10.40,-12.00,0.00,1uF,NORDIC_NRF_3_RESC0402_N
C17,-2.30,-4.30,90.00,4.7uF/25V,NORDIC_NRF_3_RESC0402_N
C18,-0.70,-6.60,90.00,10uF,NORDIC_NRF_3_RESC0402_N
C19,-10.00,2.40,180.00,1uF,NORDIC_NRF_3_RESC0402_N
C2,12.10,16.20,0.00,10uF,NORDIC_NRF_3_RESC0402_N
C20,-10.00,1.40,180.00,1uF,NORDIC_NRF_3_RESC0402_N
C21,-10.00,-1.60,359.80,0.1uF,NORDIC_NRF_3_RESC0201_N
C22,-10.40,-6.60,180.00,1uF,NORDIC_NRF_3_RESC0402_N
C23,-10.40,-2.60,180.00,1uF,NORDIC_NRF_3_RESC0402_N
C24,-10.40,-3.60,180.00,1uF,NORDIC_NRF_3_RESC0402_N
C25,-10.40,-4.60,180.00,1uF,NORDIC_NRF_3_RESC0402_N
C26,-10.40,-5.60,180.00,1uF,NORDIC_NRF_3_RESC0402_N
C27,-10.40,-7.60,180.00,1uF,NORDIC_NRF_3_RESC0402_N
C28,-10.40,-8.60,180.00,1uF,NORDIC_NRF_3_RESC0402_N
C29,-3.20,7.20,270.00,4.7uF,NORDIC_NRF_3_RESC0402_N
C3,12.20,13.30,0.00,1uF,NORDIC_NRF_3_RESC0402_N
C30,11.70,4.40,270.00,0.1uF,NORDIC_NRF_3_RESC0201_N
C31,18.20,-8.70,270.00,1uF,NORDIC_NRF_3_RESC0402_N
C32,18.20,-6.30,0.00,47nF,NORDIC_NRF_3_RESC0201_N
C33,11.90,-2.80,0.00,NC,NORDIC_NRF_3_RESC0201_N
C34,11.90,-3.60,0.00,0.1uF,NORDIC_NRF_3_RESC0201_N
C35,14.50,-10.40,0.00,12pF,NORDIC_NRF_3_RESC0201_N
C36,14.50,-11.20,180.00,12pF,NORDIC_NRF_3_RESC0201_N
C37,15.40,-7.50,90.00,100pF,NORDIC_NRF_3_RESC0201_N
C38,16.20,-7.50,270.00,NC,NORDIC_NRF_3_RESC0201_N
C39,8.70,-5.80,90.00,1pF,NORDIC_NRF_3_RESC0201_N
C4,16.90,13.80,315.00,10uF,NORDIC_NRF_3_RESC0402_N
C40,6.40,-9.90,0.00,1pF,NORDIC_NRF_3_RESC0201_N
C41,6.40,-9.10,0.00,NC,NORDIC_NRF_3_RESC0201_N
C42,7.50,-5.50,0.00,820pF/NC,NORDIC_NRF_3_RESC0201_N
C43,14.00,-0.30,270.00,0.1uF,NORDIC_NRF_3_RESC0201_N
C44,13.10,-0.30,270.00,0.1uF,NORDIC_NRF_3_RESC0201_N
C45,12.10,15.20,0.00,4.7uF,NORDIC_NRF_3_RESC0402_N
C46,3.70,3.20,180.00,4.7uF,NORDIC_NRF_3_RESC0402_N
C47,18.30,2.20,0.00,4.7uF,NORDIC_NRF_3_RESC0402_N
C48,10.80,4.40,270.00,12pF,NORDIC_NRF_3_RESC0201_N
